question_id,question_text,answer_text,is_correct
25,"Care sunt primele forme de organizare a societății?","hoarda - ginta - tribul",1
25,"Care sunt primele forme de organizare a societății?","ginta și tribul",0
25,"Care sunt primele forme de organizare a societății?","hoarda și tribul",0
26,"Ce teorie despre apariția statului nu există în teoria generală a dreptului?","teoria teologică",0
26,"Ce teorie despre apariția statului nu există în teoria generală a dreptului?","teoria violenței",0
26,"Ce teorie despre apariția statului nu există în teoria generală a dreptului?","teoria contractuală",0
26,"Ce teorie despre apariția statului nu există în teoria generală a dreptului?","teoria patriarhală",0
26,"Ce teorie despre apariția statului nu există în teoria generală a dreptului?","teoria umanismului",1
26,"Ce teorie despre apariția statului nu există în teoria generală a dreptului?","teoria biologică organicistă",0
27,"Ce reprezintă tabuul?","normă juridică care incriminează un anumit comportament și stabilește o sancțiune pentru încălcare ei ",0
27,"Ce reprezintă tabuul?","interdicție sau restricție socială, culturală sau religioasă care interzice anumite comportamente, subiecte sau acțiuni într-o societate sau grup",1
27,"Ce reprezintă tabuul?","valoare socială",0
30,"Ce este istoria?","știința care studiază evenimentele din trecutul uman",1
30,"Ce este istoria?","proces inevitabil de repetare a evenimentelor din trecut",0
30,"Ce este istoria?","știință care studiază evenimentele politice și militare",0
31,"Care factor NU a influențat cursul evoluției dreptului?","factorul natural",0
31,"Care factor NU a influențat cursul evoluției dreptului?","factorul social-economic",0
31,"Care factor NU a influențat cursul evoluției dreptului?","factorul uman",0
31,"Care factor NU a influențat cursul evoluției dreptului?","factorul politic",0
31,"Care factor NU a influențat cursul evoluției dreptului?","factorul mental",0
31,"Care factor NU a influențat cursul evoluției dreptului?","factorul internațional",1
31,"Care factor NU a influențat cursul evoluției dreptului?","factorul istoric, etnic și național",0
31,"Care factor NU a influențat cursul evoluției dreptului?","factorul cultural-ideologic",0
32,"Care este obiectul de studiu al Istoriei statului şi dreptului?","sistemele economice ale statelor prin prisma evenimentelor istorice",0
32,"Care este obiectul de studiu al Istoriei statului şi dreptului?","procesul de evoluție a structurilor politice în diferite state ale lumii",0
32,"Care este obiectul de studiu al Istoriei statului şi dreptului?","procesele istorice de evoluție a dreptului și structurilor politico-juridice",1
33,"Care dintre următoarele acte NU sunt considerate ca primele izvoare scrise ale dreptului?","Codul lui Hammurabi",0
33,"Care dintre următoarele acte NU sunt considerate ca primele izvoare scrise ale dreptului?","Codul lui Manu",0
33,"Care dintre următoarele acte NU sunt considerate ca primele izvoare scrise ale dreptului?","Legea celor 12 table",0
33,"Care dintre următoarele acte NU sunt considerate ca primele izvoare scrise ale dreptului?","Magna Charta Libertatum",1
33,"Care dintre următoarele acte NU sunt considerate ca primele izvoare scrise ale dreptului?","Legile lui Solon și Dracon",0
33,"Care dintre următoarele acte NU sunt considerate ca primele izvoare scrise ale dreptului?","Codul lui Mu",0
33,"Care dintre următoarele acte NU sunt considerate ca primele izvoare scrise ale dreptului?","Legile lui Licurg",0
34,"Ce reprezintă izvoarele istorice?","cărțile scrise în diferite perioade istorice",0
34,"Ce reprezintă izvoarele istorice?","documentele oficiale ale statelor despre sistemele politico-juridice",0
34,"Ce reprezintă izvoarele istorice?","tot ce conservează urmele activității omului",1
35," Ce reprezintă preistoria?","perioadă istorică cuprinsă între secolul al XV-lea și secolul al XVIII-lea",0
35," Ce reprezintă preistoria?","prima epocă din istoria societății omenești și se referă la intervalul de timp de la primele urme umane, până la apariția documentelor istorice scrise",1
35," Ce reprezintă preistoria?","perioadă istorică care a durat până la nașterea lui I.Hristos",0
36,"Ce reprezintă protoistoria?","epocă istorică cuprinsă între apariția primelor documente scrise și Antichitate",1
36,"Ce reprezintă protoistoria?","perioada în care omenirea a inventat scrisul, dar nu a început încă să formeze societăți complexe sau civilizații avansate",0
36,"Ce reprezintă protoistoria?","perioadă istorică de tranziție de la epoca antică la epoca medievală",0
37,"Care este scopul disciplinei Istoria statului şi dreptului?","stabilirea proceselor de evoluției a doctrinelor politice în context istoric",0
37,"Care este scopul disciplinei Istoria statului şi dreptului?","stabilirea originii și evoluției normelor juridice pe parcursul istoriei",0
37,"Care este scopul disciplinei Istoria statului şi dreptului?","determinarea genezei, constituirii și dezvoltării mecanismului apariției statului și a principalelor instituții juridice la diferite popoare în diferite epoci",1
38,"În ce constă importanța studierii Istoriei statului şi dreptului?","îmbogățirea cunoștințelor în domeniul istoriei omenirii ",0
38,"În ce constă importanța studierii Istoriei statului şi dreptului?","familiarizarea cu legitățile apariției, evoluției și existenței structurilor juridico-statale ",0
38,"În ce constă importanța studierii Istoriei statului şi dreptului?","introducerea în studierea științelor juridice ",1
39,"Ce este dreptul?","ansamblul regulilor asigurate și garantate de către stat, care au ca scop organizarea și disciplinarea comportamentului uman în principalele relații din societate, într-un climat specific manifestării existenței libertăților, apărării drepturilor esențiale ale omului și justiției sociale ",1
39,"Ce este dreptul?","sistem de practici religioase care reglementează comportamentele oamenilor în raport cu divinitatea, stabilind o legătură între legile naturii și ordinele divine",0
39,"Ce este dreptul?","set de principii filozofice care se bazează pe teoriile utilitariste ale bunăstării colective, având ca scop eliminarea conflictelor interne ale unui stat prin promovarea unui echilibru în toate sferele ",0
40,"În ce constă periodizarea?","stabilirea perioadelor în cadrul unei discipline cu caracter istoric",1
40,"În ce constă periodizarea?","stabilirea datelor fixe pentru fiecare eveniment istoric",0
40,"În ce constă periodizarea?","divizarea evenimentelor istorice în perioade de pace, război și interbelice ",0
41,"Prin ce se caracterizează organizarea de stat a Egiptului Antic?","faraonul era în fruntea statului și exercita toate funcțiile de bază",0
41,"Prin ce se caracterizează organizarea de stat a Egiptului Antic?","funcțiile de bază în statul egiptean erau exercitate de dregători",0
41,"Prin ce se caracterizează organizarea de stat a Egiptului Antic?","exista un sistem funcţionăresc foarte amplu, cristalizat în jurul regelui",1
42,"Care a fost statutul juridic al persoanelor în Egiptul Antic? ","nobilimea, preoții și țărănimea",0
42,"Care a fost statutul juridic al persoanelor în Egiptul Antic? ","nobilimea, scribii, slujbașii, țărănimea, sclavii",1
42,"Care a fost statutul juridic al persoanelor în Egiptul Antic? ","aristocrații, preoții, țărănimea, sclavii",0
43,"Ce forme de proprietate au existat în Egiptul Antic?","proprietatea statului, proprietatea exclusivă a regelui, gospodăriile regale, proprietatea templelor, gospodăriile obișnuite",1
43,"Ce forme de proprietate au existat în Egiptul Antic?","proprietatea regelui, proprietatea templelor și proprietatea obișnuită",0
43,"Ce forme de proprietate au existat în Egiptul Antic?","proprietatea regelui și proprietatea templelor",0
44,"Ce formă a căsătoriei era caracteristică în Egiptul Antic?","familia veche egipteană era monogamă",1
44,"Ce formă a căsătoriei era caracteristică în Egiptul Antic?","instituția căsătoriei se caracteriza prin poligamie",0
44,"Ce formă a căsătoriei era caracteristică în Egiptul Antic?","căsătoria era admisă doar între rudele de sânge",0
45,"Cui aparținea funcția judecății în Egiptul Antic?","autoritatea supremă în acest domeniu aparținea regelui",0
45,"Cui aparținea funcția judecății în Egiptul Antic?","faraonul delega pe vizir cu atribuția de a face dreptate",0
45,"Cui aparținea funcția judecății în Egiptul Antic?","faraonul era judecătorul suprem, care delega atribuțiile sale vizirului, iar acesta la rândul său - dregătorilor subordonați ierarhic",1
46,"Cum se caracterizează organizarea de stat în Babilon?","rege, Consiliu regal",0
46,"Cum se caracterizează organizarea de stat în Babilon?","rege, nubanda",1
46,"Cum se caracterizează organizarea de stat în Babilon?","rege, armata",0
47,"Care au fost cele mai semnificative izvoare de drept în statul babilonian?","documentele mesopotamiene ce atestă practica tribunalelor ",0
47,"Care au fost cele mai semnificative izvoare de drept în statul babilonian?","codificările de legi ale regilor mesopotamieni",1
47,"Care au fost cele mai semnificative izvoare de drept în statul babilonian?","documentele ce atestă activitatea aparatului central",0
48,"Care a fost statutul juridic al persoanelor în statul babilonian?","oameni liberi și oameni dependenți",1
48,"Care a fost statutul juridic al persoanelor în statul babilonian?","awelum și mușkenum",0
48,"Care a fost statutul juridic al persoanelor în statul babilonian?"," nobilimea, oamenii liberi și slujitorii",0
49,"Ce este dreptul public?","ramurile de drept care reglementează organizarea statului",0
49,"Ce este dreptul public?","dreptul care privește interesele individuale",0
49,"Ce este dreptul public?","ramurile de drept care conțin norme juridice valabile fiecărui individ în societate",1
50,"Ce tipuri de proprietate a existat în statul babilonian?","proprietatea statului, proprietatea privată",0
50,"Ce tipuri de proprietate a existat în statul babilonian?","proprietatea statului, templelor, privată",0
50,"Ce tipuri de proprietate a existat în statul babilonian?","proprietatea statului, templelor, comunităților țărănești, privată",1
51,"Ce este dreptul privat? ","dreptul care privește interesele generale",0
51,"Ce este dreptul privat? ","ramurile de drept care se referă numai la un grup de persoane între care au apărut anumite relații juridice",1
51,"Ce este dreptul privat? ","ramurile de drept care reglementează raporturile juridice la care subiect nu poate fi statul",0
52,"Cum se încheia căsătoria în Babilon?","înțelegere dintre fată și băiat, urmată de logodnă",0
52,"Cum se încheia căsătoria în Babilon?","contract de căsătorie încheiat cu participarea părinților și tinerilor, urmat de logodnă și căsătorie",1
52,"Cum se încheia căsătoria în Babilon?","negocieri dintre părinții tinerilor",0
53,"Cum se caracterizează regimul pedepselor conform Codului lui Hammurabi?","fiecare al optulea articol al Codului Hammurabi stipulează pedeapsa capitală pentru diverse infracţiuni",1
53,"Cum se caracterizează regimul pedepselor conform Codului lui Hammurabi?","Codex Hammurabi, în ceea ce priveşte regimul pedepselor este o legislaţie foarte blândă",0
53,"Cum se caracterizează regimul pedepselor conform Codului lui Hammurabi?","Codex Hammurabi a fost prima codificare de legi care a exclus pedeapsa capitală",0
54,"Cui aparținea funcția judecății înainte și după Hammurabi?","înainte și după Hammurabi funcția judecății aparținea regelui",0
54,"Cui aparținea funcția judecății înainte și după Hammurabi?","înainte de Hammurabi funcția judecății aparținea regelui, după - regelui și templelor",0
54,"Cui aparținea funcția judecății înainte și după Hammurabi?","înainte de Hammurabi funcția judecății aparținea templelor, după - colegiilor de judecători",1
55,"Care au fost principalele structuri statale în India antică?","regele, Consiliul regal, Parișadul și Consiliul secret, armata",1
55,"Care au fost principalele structuri statale în India antică?","regele, Consiliul dregătorilor regali, armata",0
55,"Care au fost principalele structuri statale în India antică?","regele, armata, magistrații",0
56,"Care era ierarhia păturilor sociale în India antică?","clasa nobililor, țăranilor, sclavilor",0
56,"Care era ierarhia păturilor sociale în India antică?","casta brahmanilor, casta războinicilor (kşatrya), casta „oamenilor liberi” (vaisya), servitorilor (sudra)",1
56,"Care era ierarhia păturilor sociale în India antică?","aristocrația, oamenii liberi, preoții, sclavii",0
57,"Care erau cele două categorii de proprietate în India antică?","proprietatea regelui și proprietatea bisericii",0
57,"Care erau cele două categorii de proprietate în India antică?","proprietatea regelui și a familiilor indiene",0
57,"Care erau cele două categorii de proprietate în India antică?","proprietatea familiilor indiene și terenurile indivizibile",1
58,"Cine era privilegiat succesoral în statul indian?","fiul mai mare",1
58,"Cine era privilegiat succesoral în statul indian?","fiul mai mic",0
58,"Cine era privilegiat succesoral în statul indian?",fiicele,0
59,"Cine exercita funcția judecătorească în india antică?","exclusiv de către rege",0
59,"Cine exercita funcția judecătorească în india antică?","de către rege în procesele cele mai grave, în celelalte cazuri el delega această funcție magistraților care formau tribunale",1
59,"Cine exercita funcția judecătorească în india antică?","doar de către Colegiul judiciar",0
60,"Cum a luat ființă statul grec?","prin unirea mai multor triburi și unificarea organelor de conducere a acestora în sec.al VIII-lea î.Hr",0
60,"Cum a luat ființă statul grec?","prin fondarea polisurilor în cursul sec.VIII-VI î.Hr",1
60,"Cum a luat ființă statul grec?","prin războaiele de expansiune",0
61,"Care erau organele de conducere a statului spartan?","Adunarea poporului (apella), Sfatul bătrânilor (gerusia), Colegiul celor 5 efori, doi regi",1
61,"Care erau organele de conducere a statului spartan?","regele, Colegiul arhonților, Areopagul, Senatul, Tribunalul juraților",0
61,"Care erau organele de conducere a statului spartan?","2 regi și Sfatul bătrânilor",0
62,"Ce personalități au contribuit la democratizarea statului atenian?","Licurg cu codul său de legi",0
62,"Ce personalități au contribuit la democratizarea statului atenian?","Socrate, Platon, Aristotel",0
62,"Ce personalități au contribuit la democratizarea statului atenian?","Solon, Clistene, Pericle, Tezeu, Dracon",1
63,"Care este diferența dintre polisele grecești, Atena și Sparta?","în comparație cu Atena, Sparta era un stat sclavagist",0
63,"Care este diferența dintre polisele grecești, Atena și Sparta?","Sparta - stat aristocratic sclavagist şi Atena - stat democratic sclavagist",1
63,"Care este diferența dintre polisele grecești, Atena și Sparta?","în fruntea statului spartan se aflau 2 regi, iar statul atenian era condus de Colegiul arhonţilor",0
64,"Cum era împărțită societatea ateniană? ","eupatrizi (aristocrația) și sclavii",0
64,"Cum era împărțită societatea ateniană? ","cetățenii, metecii, sclavii",1
64,"Cum era împărțită societatea ateniană? ","demosul și sclavii",0
65,"Cui era încredințată administrarea justiției în Atena?","înfăptuirea justiției era prerogativa regelui",0
65,"Cui era încredințată administrarea justiției în Atena?","Areopagul deținea competența de a face dreptate ",0
65,"Cui era încredințată administrarea justiției în Atena?","administrarea justiţiei era încredinţată (cu excepţia unor cazuri rămase de competenţa Areopagului) Adunării poporului, instanța superioară fiind Heliaia",1
66,"Prin ce se caracterizează politica externă a Spartei?","caracter conservator, manifestat prin ostilitatea continuă a Spartei faţă de statele greceşti cu regimuri democratice sclavagiste",1
66,"Prin ce se caracterizează politica externă a Spartei?","încheierea alianțelor militare și politice, numite symmachii ",0
66,"Prin ce se caracterizează politica externă a Spartei?","promovarea politicii de unificare cu celelalte orașe-state",0
67,"Care au fost cauzele războiului peloponesiac (431- 404 î.Hr.)?","politica externă pacifistă a Atenei și promovarea democrației",0
67,"Care au fost cauzele războiului peloponesiac (431- 404 î.Hr.)?","formarea alianțelor dintre polisurile grecești",0
67,"Care au fost cauzele războiului peloponesiac (431- 404 î.Hr.)?","conflictele interne între orașele-state grecești, politica expansionistă a Atenei, competiția pentru putere între două mari alianțe: Liga Deliană, condusă de Atena, și Liga Peloponesiacă, condusă de Sparta",1
68,"Care au fost consecințele războiului peloponesiac (431- 404 î.Hr.)?","consolidarea alianței dintre Atena și Sparta, respectiv a puterii statului grec ",0
68,"Care au fost consecințele războiului peloponesiac (431- 404 î.Hr.)?","înfrângerea Atenei, Sparta şi-a întărit hegemonia asupra Greciei, declinul demografic și economic, vulnerabilitatea la invaziile externe",1
68,"Care au fost consecințele războiului peloponesiac (431- 404 î.Hr.)?","dispariția totală a Atenei și Spartei",0
69,"Ce reprezintă epoca elenistică?","perioadă de expansiune culturală și politică, caracterizată prin răspândirea culturii grecești în Orientul Mijlociu, Egipt și India",1
69,"Ce reprezintă epoca elenistică?","politică promovată de Alexandru cel Mare (323 î.Hr.)",0
69,"Ce reprezintă epoca elenistică?","perioada de înflorire a civilizației romane după cucerirea Spartei",0
70,"În ce constă scopul statului?","asigurarea interesului fracțiunii, partidului ce se află la conducere",0
70,"În ce constă scopul statului?","vegherea asupra tuturor raporturilor juridice sociale ",0
70,"În ce constă scopul statului?","asigurarea și apărarea prin mijloace prevăzute de Constituție și alte acte normative a ,,interesului general” și a ,,binelui comun”",1
71,"Care au fost formele de organizare a statului roman în decursul evoluţiei istorice?","republică și imperiu",0
71,"Care au fost formele de organizare a statului roman în decursul evoluţiei istorice?","regat, republică, imperiu",1
71,"Care au fost formele de organizare a statului roman în decursul evoluţiei istorice?","polis, republică, imperiu",0
72,"Cum se caracteriza organizarea de stat a Republicii romane?","Adunarea curiata, Adunarea tributa, Adunarea centuriata",0
72,"Cum se caracteriza organizarea de stat a Republicii romane?","magistraturile și Senatul",0
72,"Cum se caracteriza organizarea de stat a Republicii romane?","2 consuli, Senatul și Adunările populare",1
73,"Ce reprezintă organul de stat?","grup de cetățeni care se adună periodic pentru a discuta și decide asupra legislației naționale, fără a fi nevoie de o structură ierarhică formală sau de autorități administrative care să implementeze deciziile lor",0
73,"Ce reprezintă organul de stat?","parte componentă a mecanismului de stat (aparatul de stat), dotată cu o anumită competență și investită cu putere, prin activitatea căreia se realizează sarcinile și funcțiile statului",1
73,"Ce reprezintă organul de stat?","structură internă a fiecărui partid politic, creată pentru a gestiona relațiile externe ale acestuia și pentru a influența politica internațională, fără a avea vreo legătură cu autoritățile legale ale unui stat",0
74,"Care au fost perioadele de evoluție a dreptului roman?","perioada veche, perioada clasică, perioada post clasică",1
74,"Care au fost perioadele de evoluție a dreptului roman?","perioada republicii și perioada imperiului",0
74,"Care au fost perioadele de evoluție a dreptului roman?","perioada timpurie, perioada clasică",0
75,"Care au fost izvoarele de drept roman?","obiceiul, legea, senatusconsultele, edictele magistraţilor, jurisprudenţa şi constituţiile imperiale",1
75,"Care au fost izvoarele de drept roman?","senatusconsultele, edictele magistraţilor",0
75,"Care au fost izvoarele de drept roman?","cutuma, legea și constituțiile imperiale",0
76,"Cum se caracterizează structura socială în statul roman (sec.VI î.Hr.- sec.III î.Hr.)?","cetățeni și sclavi",0
76,"Cum se caracterizează structura socială în statul roman (sec.VI î.Hr.- sec.III î.Hr.)?","patricieni şi plebei",0
76,"Cum se caracterizează structura socială în statul roman (sec.VI î.Hr.- sec.III î.Hr.)?","patricieni și sclavi",1
77,"Cum se împarte proprietatea în perioada republicii?","proprietatea statului asupra pămîntului și sclavilor publici și şi proprietatea privată a cetăţeanului",1
77,"Cum se împarte proprietatea în perioada republicii?","proprietatea publică, privată și proprietatea cultelor",0
77,"Cum se împarte proprietatea în perioada republicii?","proprietate asupra bunurilor și proprietate asupra sclavilor",0
78,"Care dintre acestea principii NU stă la baza organizării și funcționării aparatului de stat?","separația și colaborarea puterilor",0
78,"Care dintre acestea principii NU stă la baza organizării și funcționării aparatului de stat?","principiul democratismului",0
78,"Care dintre acestea principii NU stă la baza organizării și funcționării aparatului de stat?",umanismul,1
78,"Care dintre acestea principii NU stă la baza organizării și funcționării aparatului de stat?",legalitatea,0
79,"Ce reprezintă Legea celor XII table?","un set de reguli adoptate de Senatul roman în domeniul penal ",0
79,"Ce reprezintă Legea celor XII table?","primele legi romane ce prevedeau pedeapsa capitală",0
79,"Ce reprezintă Legea celor XII table?","un set de legi scrise care au marcat începutul dreptului roman scris care recunoștea legea talionului",1
80,"Ce reprezintă forma de guvernământ ca element al formei de stat?","caracterizează organizarea administrativ-teritorială și națională a statului, evidențiază caracterul relațiilor dintre părțile componente, dintre organele centrale și locale ale puterii de stat ",0
80,"Ce reprezintă forma de guvernământ ca element al formei de stat?","caracterizează organele supreme ale puterii de stat, ordinea formării lor și repartizarea competențelor între ele",1
80,"Ce reprezintă forma de guvernământ ca element al formei de stat?","sistem de guvernare impus unei societăți prin conducere îndelungată sau vremelnică a unei clase sau caste",0
81,"Cui aparținea competența de înfăptuire a justiției în perioade diferite de evoluție a statului roman?","justiția era înfăptuită de magistrat și judecător",1
81,"Cui aparținea competența de înfăptuire a justiției în perioade diferite de evoluție a statului roman?","procesul de judecată avea loc exclusiv în fața magistraților ",0
81,"Cui aparținea competența de înfăptuire a justiției în perioade diferite de evoluție a statului roman?","înfăptuirea justiției era competența strictă a judecătorilor întruniți în cadrul unui tribunal ",0
82,"Prin ce s-a marcat politica internațională a statului roman?","promovarea unei politici de încheiere a alianțelor pe condiții de egalitate",0
82,"Prin ce s-a marcat politica internațională a statului roman?","promovarea unei politici de izolare",0
82,"Prin ce s-a marcat politica internațională a statului roman?","promovarea unei politici de cucerire și subordonare a popoarelor",1
83,"Ce reprezintă structura de stat ca element al formei de stat?","caracterizează organele supreme ale puterii de stat, ordinea formării lor și repartizarea competențelor între ele",0
83,"Ce reprezintă structura de stat ca element al formei de stat?","caracterizează organizarea administrativ-teritorială și națională a statului, evidențiază caracterul relațiilor dintre părțile componente, dintre organele centrale și locale ale puterii de stat",1
83,"Ce reprezintă structura de stat ca element al formei de stat?","sistem de guvernare impus unei societăți prin conducere îndelungată sau vremelnică a unei clase sau caste",0
84,"Care au fost cauzele destrămării Imperiului Roman?","invaziile barbare, criza economico-socială, instabilitatea politică internă, corupția guvernamentală și divizarea imperiului în două părți",1
84,"Care au fost cauzele destrămării Imperiului Roman?","destrămarea Imperiului Roman se datorează doar divizării acestuia în două părți",0
84,"Care au fost cauzele destrămării Imperiului Roman?","instabilitatea politică și economică internă",0
85,"Ce reprezintă regimul politic ca element al formei de stat?","caracterizează organele supreme ale puterii de stat, ordinea formării lor și repartizarea competențelor între ele",0
85,"Ce reprezintă regimul politic ca element al formei de stat?","caracterizează organizarea administrativ-teritorială și națională a statului, evidențiază caracterul relațiilor dintre părțile componente, dintre organele centrale și locale ale puterii de stat ",0
85,"Ce reprezintă regimul politic ca element al formei de stat?","sistem de guvernare impus unei societăți prin conducere îndelungată sau vremelnică a unei clase sau caste",1
86,"Care au fost primele formațiuni politice la geto-daci?","triburile și uniunile tribale, care treptat devin dave",1
86,"Care au fost primele formațiuni politice la geto-daci?",regatele,0
86,"Care au fost primele formațiuni politice la geto-daci?",polisurile,0
87,"Cum erau organizate regatele geto-dacice? ","în fruntea regatului se afla căpetenia care conlucra cu Adunarea poporului (menționată în unele surse)",0
87,"Cum erau organizate regatele geto-dacice? ","regatul funcționa pe baza pe instituția regelui",0
87,"Cum erau organizate regatele geto-dacice? ","organizarea regatului se caracteriza prin exercitarea puterii regale și laice de una sau diferite persoane, activitatea Adunării poporului și a unui număr mare de dregători",1
88,"Care popor a influențat considerabil dezvoltarea socio-economică și politică a geto-dacilor?","popoarele barbare",0
88,"Care popor a influențat considerabil dezvoltarea socio-economică și politică a geto-dacilor?",grecii,1
88,"Care popor a influențat considerabil dezvoltarea socio-economică și politică a geto-dacilor?",slavii,0
89,"Cum a fost reorganizată politic Dacia după cucerirea ei de către Imperiul Roman?","forma de guvernământ era monarhia, pe lângă împărat, organizarea politică cuprindea şi Senatul, comiţiile, magistraţi şi dregători de diferite grade",1
89,"Cum a fost reorganizată politic Dacia după cucerirea ei de către Imperiul Roman?","organizarea politică a rămas aceeași, doar că funcțiile de conducere au fost ocupate de romani",0
89,"Cum a fost reorganizată politic Dacia după cucerirea ei de către Imperiul Roman?","organizarea politică a rămas aceeași, în afară de instituția regelui, care a fost înlocuită cu cea a guvernatorului",0
90,"Cum a fost reorganizată administrativ Dacia după cucerirea ei?","Dacia a devenit provincie romană și a fost divizată în 3 subdiviziuni pentru o conducere mai eficientă",1
90,"Cum a fost reorganizată administrativ Dacia după cucerirea ei?","au fost create 2 provincii",0
90,"Cum a fost reorganizată administrativ Dacia după cucerirea ei?","Dacia a fost divizată în regiuni urbane și rurale",0
91,"Cine înfăptuia justiția în Dacia romană?","Adunarea poporului",0
91,"Cine înfăptuia justiția în Dacia romană?",guvernatorul,1
91,"Cine înfăptuia justiția în Dacia romană?","magistrații",0
92,"Ce reprezintă Tripticelele?","cod de legi scrise în perioada Daciei romane",0
92,"Ce reprezintă Tripticelele?","izvoare istorice materiale din perioada Daciei romane ce cuprind date referitoare la sistemul de drept",1
92,"Ce reprezintă Tripticelele?","categorie de contracte încheiate de către geto-daci",0
93,"Care era statutul juridic al persoanelor până și după cucerirea Daciei?","până la cucerire - nobilimea și țărănimea, după - cetăţenii romani, latinii şi peregrini",1
93,"Care era statutul juridic al persoanelor până și după cucerirea Daciei?","până la cucerire - aristocrația și țărănimea, după - romani și geto-daci",0
93,"Care era statutul juridic al persoanelor până și după cucerirea Daciei?","atât până, cât și după cucerirea Daciei de către romani, societatea era împărțită în aristocrație și țărănime",0
